iTest	taille	min	max	nom_tri	type_tab	temps	mem
31	88414	-10000	10000	radix	constant	0.01	2592
32	19861	-10000	10000	rapide	aleatoire	0.00	1944
31	88414	-10000	10000	rapide	aleatoire	0.02	2388
32	19861	-10000	10000	fusion	constant	0.01	2268
32	19861	-10000	10000	rapide	croissant	0.00	2020
29	86546	-10000	10000	radix	aleatoire	0.04	2640
31	88414	-10000	10000	rapide	croissant	0.01	2380
32	19861	-10000	10000	radix	aleatoire	0.01	2128
32	19861	-10000	10000	fusion	decroissant	0.01	2332
31	88414	-10000	10000	rapide	decroissant	0.02	2376
32	19861	-10000	10000	radix	croissant	0.01	2124
32	19861	-10000	10000	radix	decroissant	0.01	2188
32	19861	-10000	10000	fusion	croissant	0.01	2376
33	80925	-10000	10000	rapide	aleatoire	0.02	2400
29	86546	-10000	10000	radix	croissant	0.04	2640
32	19861	-10000	10000	insertion	croissant	0.01	2300
33	80925	-10000	10000	rapide	croissant	0.01	2312
31	88414	-10000	10000	radix	decroissant	0.04	2648
29	86546	-10000	10000	fusion	constant	0.05	2972
29	86546	-10000	10000	fusion	decroissant	0.06	2980
32	19861	-10000	10000	fusion	aleatoire	0.01	2224
29	86546	-10000	10000	fusion	croissant	0.06	2916
33	80925	-10000	10000	rapide	decroissant	0.01	2400
31	88414	-10000	10000	insertion	constant	0.04	2588
33	80925	-10000	10000	radix	constant	0.01	2492
31	88414	-10000	10000	radix	croissant	0.04	2648
33	80925	-10000	10000	insertion	croissant	0.03	2572
34	72359	-10000	10000	rapide	croissant	0.01	2400
31	88414	-10000	10000	insertion	croissant	0.03	2460
34	72359	-10000	10000	rapide	aleatoire	0.02	2316
34	72359	-10000	10000	rapide	decroissant	0.01	2244
36	9441	-10000	10000	rapide	decroissant	0.00	2128
35	33218	-10000	10000	insertion	croissant	0.01	2176
35	33218	-10000	10000	rapide	decroissant	0.00	2084
29	86546	-10000	10000	fusion	aleatoire	0.07	3056
33	80925	-10000	10000	radix	decroissant	0.04	2636
36	9441	-10000	10000	radix	aleatoire	0.00	2384
34	72359	-10000	10000	radix	constant	0.01	2596
35	33218	-10000	10000	rapide	aleatoire	0.01	2032
20	13892	-10000	10000	insertion	aleatoire	0.29	2408
33	80925	-10000	10000	radix	aleatoire	0.04	2648
33	80925	-10000	10000	insertion	constant	0.03	2588
36	9441	-10000	10000	insertion	constant	0.00	2328
36	9441	-10000	10000	radix	decroissant	0.00	2264
35	33218	-10000	10000	radix	aleatoire	0.01	2196
31	88414	-10000	10000	radix	aleatoire	0.05	2652
35	33218	-10000	10000	rapide	croissant	0.00	2056
