iTest	taille	min	max	nom_tri	type_tab	temps	mem
14	76282	-10000	10000	radix	aleatoire	0.04	3120
13	81582	-10000	10000	fusion	croissant	0.07	3756
17	1946	-10000	10000	radix	croissant	0.00	2280
17	1946	-10000	10000	insertion	aleatoire	0.00	2276
17	1946	-10000	10000	insertion	decroissant	0.01	2332
16	2344	-10000	10000	insertion	decroissant	0.01	2176
13	81582	-10000	10000	radix	aleatoire	0.05	3452
17	1946	-10000	10000	fusion	unique	0.00	2248
17	1946	-10000	10000	radix	unique	0.00	2284
18	10927	-10000	10000	fusion	croissant	0.00	2376
17	1946	-10000	10000	radix	aleatoire	0.00	2192
17	1946	-10000	10000	rapide	aleatoire	0.00	1972
17	1946	-10000	10000	rapide	decroissant	0.00	2076
17	1946	-10000	10000	radix	decroissant	0.00	2340
18	10927	-10000	10000	radix	unique	0.00	2292
13	81582	-10000	10000	radix	decroissant	0.05	3448
14	76282	-10000	10000	fusion	unique	0.05	3400
18	10927	-10000	10000	fusion	decroissant	0.01	2552
17	1946	-10000	10000	fusion	croissant	0.00	2248
19	7696	-10000	10000	fusion	croissant	0.00	2428
17	1946	-10000	10000	fusion	decroissant	0.00	2296
17	1946	-10000	10000	insertion	croissant	0.00	2124
16	2344	-10000	10000	rapide	unique	0.03	2108
17	1946	-10000	10000	rapide	unique	0.02	1968
18	10927	-10000	10000	rapide	croissant	0.00	2176
18	10927	-10000	10000	insertion	unique	0.00	2472
19	7696	-10000	10000	fusion	unique	0.00	2480
18	10927	-10000	10000	radix	aleatoire	0.00	2504
19	7696	-10000	10000	rapide	croissant	0.00	2056
18	10927	-10000	10000	fusion	unique	0.00	2544
18	10927	-10000	10000	insertion	croissant	0.00	2420
18	10927	-10000	10000	radix	croissant	0.00	2552
19	7696	-10000	10000	insertion	unique	0.00	2372
19	7696	-10000	10000	rapide	decroissant	0.00	2176
19	7696	-10000	10000	radix	unique	0.00	2188
19	7696	-10000	10000	fusion	decroissant	0.00	2480
18	10927	-10000	10000	rapide	decroissant	0.00	2224
14	76282	-10000	10000	fusion	croissant	0.06	3412
18	10927	-10000	10000	radix	decroissant	0.00	2452
18	10927	-10000	10000	fusion	aleatoire	0.01	2504
18	10927	-10000	10000	rapide	aleatoire	0.00	2096
19	7696	-10000	10000	fusion	aleatoire	0.00	2304
19	7696	-10000	10000	radix	croissant	0.00	2472
19	7696	-10000	10000	insertion	croissant	0.00	2244
19	7696	-10000	10000	radix	decroissant	0.00	2480
14	76282	-10000	10000	fusion	aleatoire	0.07	3488
19	7696	-10000	10000	rapide	aleatoire	0.00	2172
13	81582	-10000	10000	fusion	aleatoire	0.08	3780
20	96161	-10000	10000	radix	unique	0.02	3392
20	96161	-10000	10000	rapide	croissant	0.02	3184
13	81582	-10000	10000	fusion	unique	0.06	3712
19	7696	-10000	10000	radix	aleatoire	0.00	2380
21	52774	-10000	10000	rapide	decroissant	0.01	2644
20	96161	-10000	10000	rapide	decroissant	0.02	3112
20	96161	-10000	10000	insertion	croissant	0.04	3280
21	52774	-10000	10000	radix	unique	0.00	2760
20	96161	-10000	10000	rapide	aleatoire	0.03	3104
21	52774	-10000	10000	rapide	croissant	0.01	2656
21	52774	-10000	10000	insertion	unique	0.02	2744
21	52774	-10000	10000	rapide	aleatoire	0.01	2620
20	96161	-10000	10000	radix	decroissant	0.06	3420
20	96161	-10000	10000	radix	croissant	0.06	3412
21	52774	-10000	10000	insertion	croissant	0.02	2760
22	45878	-10000	10000	radix	unique	0.01	2624
22	45878	-10000	10000	rapide	decroissant	0.01	2696
10	9322	-10000	10000	insertion	aleatoire	0.16	2212
22	45878	-10000	10000	rapide	croissant	0.01	2548
7	13709	-10000	10000	insertion	aleatoire	0.34	2336
21	52774	-10000	10000	fusion	croissant	0.04	2964
21	52774	-10000	10000	radix	croissant	0.03	2852
19	7696	-10000	10000	insertion	aleatoire	0.11	2244
21	52774	-10000	10000	radix	aleatoire	0.03	2852
22	45878	-10000	10000	radix	aleatoire	0.02	2852
24	5229	-10000	10000	rapide	aleatoire	0.00	2136
23	63075	-10000	10000	rapide	decroissant	0.01	2900
24	5229	-10000	10000	radix	unique	0.00	2240
20	96161	-10000	10000	insertion	unique	0.03	3312
21	52774	-10000	10000	radix	decroissant	0.03	2764
